MX.5P_up,Fournier Coeff,MEAN P,S DEV P,SKEW P,P(W/W),P(W/D),Elev,Lat,Coastal Prox,Month
0.21,9.16,2.79,4.14,2.53,0.53,0.11,695.6,34.99,122.79,1
0.28,9.16,2.86,4.63,1.99,0.25,0.11,695.6,34.99,122.79,2
0.08,9.16,3.49,3.78,1.01,0.12,0.03,695.6,34.99,122.79,3
0.05,9.16,2.42,1.98,1.08,0.17,0.02,695.6,34.99,122.79,4
0.03,9.16,1.91,0.9,0,0,0.01,695.6,34.99,122.79,5
0.14,9.16,5.71,7.36,0,0,0.01,695.6,34.99,122.79,7
0.1,9.16,5.8,7.93,0.65,0.5,0.01,695.6,34.99,122.79,10
0.08,9.16,0.99,0.84,0.25,0.17,0.02,695.6,34.99,122.79,11
0.09,9.16,2.46,2.29,1.23,0.33,0.04,695.6,34.99,122.79,12
0.18,7.45,3.05,3.52,2.07,0.36,0.07,584.59,34.85,171.21,1
0.22,7.45,3.65,5.7,3.05,0.17,0.08,584.59,34.85,171.21,2
0.11,7.45,2.07,2.8,1.51,0.07,0.04,584.59,34.85,171.21,3
0.07,7.45,2.68,2.01,0.46,0.2,0.03,584.59,34.85,171.21,4
0.05,7.45,1.69,2.82,1.53,0.17,0.02,584.59,34.85,171.21,5
0.1,7.45,1.75,1.94,1.79,0.4,0.04,584.59,34.85,171.21,7
0.16,7.45,4.13,5.96,1.75,0.19,0.04,584.59,34.85,171.21,8
0.09,7.45,3.84,4.43,1.12,0.38,0.02,584.59,34.85,171.21,9
0.12,7.45,3.45,4.82,1.69,0.47,0.02,584.59,34.85,171.21,10
0.12,7.45,3.74,5.96,1.91,0.29,0.04,584.59,34.85,171.21,11
0.26,7.45,5.18,6.23,1.58,0.32,0.07,584.59,34.85,171.21,12
0.68,21.01,8.67,12.01,2.92,0.33,0.09,25.03,34.22,12,1
0.54,21.01,7.17,8.23,1.93,0.32,0.1,25.03,34.22,12,2
0.65,21.01,6.61,14.39,3.56,0.43,0.05,25.03,34.22,12,3
0.28,21.01,5.84,7.49,1.31,0.24,0.04,25.03,34.22,12,4
0.07,21.01,1.33,1.68,1.58,0.11,0.02,25.03,34.22,12,5
0.03,21.01,4.06,4.31,0,0,0.01,25.03,34.22,12,7
0,21.01,0.42,0.15,-0.58,0,0.01,25.03,34.22,12,8
0.03,21.01,1.74,3.51,1.63,0,0.02,25.03,34.22,12,9
0.09,21.01,3.48,4.92,1.48,0.21,0.03,25.03,34.22,12,10
0.36,21.01,5.17,5.96,1.33,0.22,0.07,25.03,34.22,12,11
0.64,21.01,5.77,8.69,3.13,0.27,0.12,25.03,34.22,12,12
0.38,10.75,5.18,8.09,3.24,0.46,0.06,120.34,33.62,206.79,1
0.23,10.75,3.99,6.08,2.14,0.23,0.08,120.34,33.62,206.79,2
0.17,10.75,6.58,6.54,0.68,0.33,0.01,120.34,33.62,206.79,3
0.02,10.75,1.23,1,0.96,0,0.02,120.34,33.62,206.79,4
0.08,10.75,2.87,3.77,1.29,0.4,0.02,120.34,33.62,206.79,5
0.02,10.75,0.64,0.54,0,0,0.01,120.34,33.62,206.79,6
0.29,10.75,6.84,10.04,2.42,0.35,0.04,120.34,33.62,206.79,7
0.22,10.75,2.48,3.01,1.33,0.21,0.06,120.34,33.62,206.79,8
0.08,10.75,1.72,1.77,1.35,0.3,0.05,120.34,33.62,206.79,9
0.13,10.75,2.32,2.36,0.81,0.41,0.03,120.34,33.62,206.79,10
0.12,10.75,3.02,4.82,2.03,0.47,0.03,120.34,33.62,206.79,11
0.5,10.75,5.47,7.47,2.11,0.36,0.07,120.34,33.62,206.79,12
0.61,22.86,8.24,11.9,2.94,0.45,0.09,191.61,33.98,47.85,1
0.64,22.86,5.49,8.13,2.98,0.37,0.14,191.61,33.98,47.85,2
0.24,22.86,3.77,3.95,1.45,0.24,0.05,191.61,33.98,47.85,3
0.15,22.86,2.43,2.93,1.35,0.15,0.05,191.61,33.98,47.85,4
0.26,22.86,5.73,5.76,0.84,0.35,0.04,191.61,33.98,47.85,5
0.24,22.86,5.59,6.5,0.89,0.25,0.01,191.61,33.98,47.85,7
0.01,22.86,0.68,0.39,-0.31,0,0.01,191.61,33.98,47.85,8
0.07,22.86,5.4,8.77,0.99,0,0.01,191.61,33.98,47.85,9
0.14,22.86,2.43,3.36,3.41,0.38,0.04,191.61,33.98,47.85,10
0.3,22.86,3.25,6.04,3.02,0.17,0.09,191.61,33.98,47.85,11
0.61,22.86,7.73,11.23,2.25,0.33,0.11,191.61,33.98,47.85,12
0.08,40.07,2.19,2.47,1.56,0.12,0.02,990.61,32.33,781.08,1
0.19,40.07,4.78,6.19,2.12,0.33,0.04,990.61,32.33,781.08,2
0.29,40.07,5.48,15.59,3.12,0.29,0.03,990.61,32.33,781.08,3
0.19,40.07,3.26,4.22,1.56,0.22,0.04,990.61,32.33,781.08,4
0.53,40.07,8.68,11.93,1.55,0.41,0.06,990.61,32.33,781.08,5
0.56,40.07,5.65,6.9,1.81,0.41,0.11,990.61,32.33,781.08,6
0.84,40.07,9.43,11.54,1.96,0.38,0.16,990.61,32.33,781.08,7
0.92,40.07,7.69,11.55,2.53,0.47,0.15,990.61,32.33,781.08,8
0.99,40.07,9.29,12.35,2.04,0.45,0.1,990.61,32.33,781.08,9
0.28,40.07,4.14,4.89,2.19,0.37,0.06,990.61,32.33,781.08,10
0.11,40.07,3.41,3.24,0.68,0.42,0.03,990.61,32.33,781.08,11
0.36,40.07,4.9,5.73,1.68,0.39,0.07,990.61,32.33,781.08,12
0.17,58.45,1.35,1.35,1.52,0.33,0.2,514.15,43.77,1550.94,1
0.45,58.45,2.78,3.95,2.19,0.51,0.18,514.15,43.77,1550.94,2
0.52,58.45,3.29,4.93,2.37,0.33,0.23,514.15,43.77,1550.94,3
0.94,58.45,5.51,7.47,2.11,0.43,0.28,514.15,43.77,1550.94,4
0.82,58.45,5.81,7.87,1.97,0.53,0.31,514.15,43.77,1550.94,5
1.83,58.45,11.75,17.93,1.95,0.46,0.23,514.15,43.77,1550.94,6
0.91,58.45,6.98,12.22,3.12,0.33,0.21,514.15,43.77,1550.94,7
1.28,58.45,9.39,20.1,4.23,0.28,0.21,514.15,43.77,1550.94,8
0.7,58.45,4.45,8.17,2.9,0.36,0.17,514.15,43.77,1550.94,9
0.79,58.45,6.95,10.34,1.8,0.46,0.15,514.15,43.77,1550.94,10
0.16,58.45,1.66,2.49,3.05,0.25,0.11,514.15,43.77,1550.94,11
0.46,58.45,2.77,4.94,3.93,0.4,0.18,514.15,43.77,1550.94,12
0.46,74.34,3.81,8.37,3.92,0.3,0.09,280.75,36.77,785.32,1
